"commit","fecha","es_alta","resumen_del_bloque","identificadores","coincide_con_el_actual"
"81b3a323317824bd9097ec349ef73772e07f0305","2026-08-26",FALSE,"36fb445cba6dc80c1a9536c0d63d953413483aa7",17,TRUE
"a805a0bedd94a0b4b50e99080e3b7c9afa27b7bc","2026-08-18",TRUE,"36fb445cba6dc80c1a9536c0d63d953413483aa7",17,TRUE
