"afirmacion","valor","esperado","tolerancia","concuerda"
"Referencia, modelo completo parametros",148,148,0.5,TRUE
"Referencia, modelo completo minoritarias",0.6735,0.6735,5e-05,TRUE
"Concordancia de presion a menos de quince minutos",0.4969,0.4969,5e-05,TRUE
"Discrepancia absoluta mediana de presion",12,12,0.5,TRUE
"Presion por cateter, proporcion minima",2.5,2.5,0.05,TRUE
"Presion por cateter, proporcion maxima",80.4,80.4,0.05,TRUE
"Indicador de tubo, categoria respiratoria",0.7111,0.7111,5e-05,TRUE
"Escala completa en la cohorte, tres componentes",0.7313,0.7313,5e-05,TRUE
"Escala completa dentro del estrato con tubo",0.4865,0.4865,5e-05,TRUE
"Recorrido de la mediana, frecuencia cardiaca",16,16,0.005,TRUE
"Recorrido de la mediana, frecuencia respiratoria",7,7,0.005,TRUE
"Temperatura, disponibilidad minima por unidad",76.5,76.5,0.05,TRUE
"Temperatura, disponibilidad maxima por unidad",97.9,97.9,0.05,TRUE
"Temperatura, recorrido de la disponibilidad",21.4,21.4,0.05,TRUE
"Informacion faltante, maximo en laboratorio",0.6214,0.6214,5e-05,TRUE
"Informacion faltante, maximo en constantes",0.0648,0.0648,5e-05,TRUE
"Variables donde la mediana obtiene menor error",9,9,0.5,TRUE
"Variables donde la imputacion obtiene menor error",7,7,0.5,TRUE
"Coincidencias de registro, proporcion minima",25.46,25.46,0.005,TRUE
"Coincidencias de registro, proporcion maxima",40.05,40.05,0.005,TRUE
"Determinaciones simultaneas, maximo",38,38,0.5,TRUE
"Coincidencias en laboratorio, proporcion",0.1,0.1,0.05,TRUE
"Divergencia material maxima por variable",0.11,0.11,5e-04,TRUE
"Ejecuciones de la consulta corregida",3,3,0.5,TRUE
"Ejecuciones identicas a la primera",3,3,0.5,TRUE
"Grupos que empatan en las dos primeras claves",82,82,0.5,TRUE
"Cobertura, denominadores que no coinciden",0,0,0.5,TRUE
"Desplazamiento maximo de cobertura",0.1,0.1,0.05,TRUE
"Celdas contrastadas en la familia",20,20,0.5,TRUE
"Celdas con intervalo bajo el nominal",5,5,0.5,TRUE
"Celdas que resisten la correccion",3,3,0.5,TRUE
"Sedes que fallan bajo la correccion",3,3,0.5,TRUE
"Sedes evaluadas por celda",5,5,0.5,TRUE
"Cobertura sin demostracion, la mayor",0.7818,0.7818,5e-05,TRUE
"Cobertura sin demostracion, la menor",0.7586,0.7586,5e-05,TRUE
"Casos de la celda sin demostracion mayor",55,55,0.5,TRUE
"Casos de la celda sin demostracion menor",58,58,0.5,TRUE
"Unidad reservada, celdas bajo el nominal",0,0,0.5,TRUE
"Estrechamiento minimo al fijar el umbral",9.69248734916311,10,0.5,TRUE
"Estrechamiento maximo al fijar el umbral",34.3324250681198,34,0.5,TRUE
"Recuentos distintos bajo la correccion",1,1,0.5,TRUE
"Celdas que resistirian sin calibracion",4,4,0.5,TRUE
"Falsas positivas esperadas por azar",1,1,0.05,TRUE
"Sedes que fallan en la mayoritaria",2,2,0.5,TRUE
"Sedes que fallan en respiratorio",1,1,0.5,TRUE
"Sedes sin fallo demostrable",2,2,0.5,TRUE
"Sellada, probabilidad media mayoritaria",0.9054,0.9054,5e-05,TRUE
"Sellada, frecuencia observada mayoritaria",0.9802,0.9802,5e-05,TRUE
"Validacion interna, mejora",0.0375,0.0375,5e-05,TRUE
"Validacion interna, mejora original",0.0395,0.0395,5e-05,TRUE
"Validacion interna, estancias de ajuste",5578,5578,0.5,TRUE
"Validacion interna, estancias apartadas",2791,2791,0.5,TRUE
"Intubacion entre los respiratorios",72.2,72.2,0.05,TRUE
"Intubacion entre los sin crecimiento",39.3,39.3,0.05,TRUE
"Tamanos locales del ejercicio",7,7,0.5,TRUE
