"clase","n","frecuencia_observada","probabilidad_media","diferencia"
"sin_crecimiento",2972,0.8874,0.8884,0.001
"urinario",143,0.0427,0.0419,-0.0008
"respiratorio",128,0.0382,0.0384,0.0001
"sangre",106,0.0317,0.0314,-0.0003
