"clase","auc_1se","auc_min","diferencia"
"sin_crecimiento",0.6313,0.6521,0.0208
"urinario",0.5754,0.6518,0.0764
"respiratorio",0.6738,0.6597,-0.0141
"sangre",0.6529,0.709,0.0561
