"seccion","sede","clase","n","cubiertos","cobertura","ic_inferior","ic_superior","n_calibracion","orden_umbral","nominal","confianza","p_unilateral","p_beta","media_nula","ic_beta_inferior","ic_beta_superior","beta_por_debajo","beta_por_encima","beta_excluye_nominal","en_familia","p_bonferroni","p_holm","p_beta_holm","p_beta_bonferroni","resiste_bonferroni_0050","resiste_holm_0050","resiste_beta_holm_0050","resiste_beta_bonferroni_0050","resiste_bonferroni_0025","resiste_holm_0025","resiste_beta_holm_0025","resiste_beta_bonferroni_0025","resiste_bonferroni","resiste_holm","umbral_holm_0050","umbral_holm_0025","umbral_holm_beta_0050","umbral_holm_beta_0025","umbral_holm","excluye_nominal","por_debajo","por_encima","punto_bajo_nominal"
"dejando una sede fuera","Surgical Intensive Care Unit (SICU)","sin_crecimiento",2600,2466,0.9485,0.9393,0.9566,4271,3845,0.9,0.95,1,1,0.900046816479401,0.9368,0.9587,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0166667,0.00833333,0.00833333,0.00416667,0.0166667,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Surgical Intensive Care Unit (SICU)","urinario",88,78,0.8864,0.8009,0.9441,221,200,0.9,0.95,0.384714,0.380738,0.900900900900901,0.7856,0.9523,FALSE,FALSE,FALSE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00357143,0.00178571,0.00357143,0.00178571,0.00357143,FALSE,FALSE,FALSE,TRUE
"dejando una sede fuera","Surgical Intensive Care Unit (SICU)","respiratorio",58,44,0.7586,0.6283,0.8613,205,186,0.9,0.95,0.00143487,0.00403499,0.902912621359223,0.6119,0.8726,TRUE,FALSE,TRUE,TRUE,0.0286973,0.0243927,0.0685948,0.0806998,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.00294118,0.00147059,0.00294118,0.00147059,0.00294118,TRUE,TRUE,FALSE,TRUE
"dejando una sede fuera","Surgical Intensive Care Unit (SICU)","sangre",41,41,1,0.914,1,186,169,0.9,0.95,1,1,0.903743315508021,0.9051,1,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.025,0.0125,0.0125,0.00625,0.025,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Trauma SICU (TSICU)","sin_crecimiento",2163,2093,0.9676,0.9593,0.9747,4438,3996,0.9,0.95,1,1,0.900202748366749,0.9574,0.9761,FALSE,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.05,0.025,0.05,0.025,0.05,TRUE,FALSE,TRUE,FALSE
"dejando una sede fuera","Trauma SICU (TSICU)","urinario",62,56,0.9032,0.8012,0.9637,223,202,0.9,0.95,0.595749,0.557714,0.901785714285714,0.7882,0.9691,FALSE,FALSE,FALSE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00384615,0.00192308,0.00384615,0.00192308,0.00384615,FALSE,FALSE,FALSE,FALSE
"dejando una sede fuera","Trauma SICU (TSICU)","respiratorio",55,43,0.7818,0.6499,0.8819,215,195,0.9,0.95,0.00728491,0.0132515,0.902777777777778,0.6348,0.8917,TRUE,FALSE,TRUE,TRUE,0.145698,0.116559,0.212025,0.265031,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.003125,0.0015625,0.003125,0.0015625,0.003125,TRUE,TRUE,FALSE,TRUE
"dejando una sede fuera","Trauma SICU (TSICU)","sangre",37,35,0.9459,0.8181,0.9934,171,155,0.9,0.95,0.896369,0.867767,0.901162790697674,0.8053,0.995,FALSE,FALSE,FALSE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00416667,0.00208333,0.00416667,0.00208333,0.00416667,FALSE,FALSE,FALSE,FALSE
"unidad reservada","Cardiac Vascular","sin_crecimiento",4495,4455,0.9911,0.9879,0.9936,4457,4013,0.9,0.95,1,1,0.900179452669359,0.9865,0.9946,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
"unidad reservada","Cardiac Vascular","urinario",52,45,0.8654,0.7421,0.9441,214,194,0.9,0.95,0.260902,0.257741,0.902325581395349,0.7285,0.9508,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE
"unidad reservada","Cardiac Vascular","respiratorio",13,11,0.8462,0.5455,0.9808,191,173,0.9,0.95,0.378655,0.371177,0.901041666666667,0.5367,0.9826,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE
"unidad reservada","Cardiac Vascular","sangre",26,25,0.9615,0.8036,0.999,159,144,0.9,0.95,0.935389,0.920831,0.9,0.7918,0.999,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
