"conjunto","estancias","clase_mayoritaria","prob_minima_mayoritaria","cota_de_cada_minoritaria","separacion","maximo_observado_minoritarias","sostiene_la_imposibilidad"
"prueba",3349,"sin_crecimiento",0.5007,0.4993,0.0014,0.3331,TRUE
"unidad reservada",4586,"sin_crecimiento",0.5698,0.4302,0.1396,0.3804,TRUE
