"deposito","publicado","contrastado","situacion"
"outputs/fase17/cobertura_por_unidad.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase17/correlacion_vitales_labs.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase17/dispersion_presion.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase17/medianas_por_unidad.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase2/clase_por_unidad.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase2/unidades_elegibles.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase20/dispersion_empates.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase20/dispersion_imputaciones.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase20/estructura_asociacion.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase20/verificacion_cifras.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase22/comparacion_lambda_interna.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase22/particion_interna.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase25/multisitio_cohorte.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase26/criterios_cobertura.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase27/procedencia_manifiestos.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase3/cobertura_labs.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase3/repeticion.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase31/distribucion_presentes.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase32/determinaciones_anadidas.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase4/faltantes_unidad.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase4/faltantes.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase4/rangos.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase43/positividad_retenidos.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase44/depositos.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase5/clases_por_unidad.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase5/distancia_unidades.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase6/comparacion_obs_imp.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase6/estabilidad.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase7/busqueda_hiperparametros.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase7/dispersion_imputaciones.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase7/estabilidad_nolinealidad.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase7/ganancia_cv.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/fase7/no_linealidad.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/multisitio.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/n_real.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/tipos_muestra_ventana6h.csv",FALSE,FALSE,"ni publicado ni contrastado"
"outputs/unidades.csv",FALSE,FALSE,"ni publicado ni contrastado"
